DEPTH,RHOB_F17-04,RHOB_F15-A-01
1958.0001,2.37848711,2.172432661
1958.1001,2.368139267,2.17732048
1958.2001,2.354845285,2.188716173
1958.3001,2.345185518,2.207096338
1958.4001,2.342113257,2.22873044
1958.5001,2.345687389,2.249936104
1958.6001,2.353117704,2.268888235
1958.7001,2.358879328,2.278468847
1958.8001,2.361082792,2.27438426
1958.9001,2.360332727,2.262959957
1959.0001,2.356599808,2.248744965
1959.1001,2.35191083,2.234640598
1959.2001,2.350696325,2.220885038
1959.3001,2.354313374,2.208590031
1959.4001,2.360723496,2.198808193
1959.5001,2.366455317,2.189354897
1959.6001,2.368770599,2.181162596
1959.7001,2.366110563,2.177088261
1959.8001,2.359180927,2.177241325
1959.9001,2.351907253,2.181141138
1960.0001,2.3487432,2.186286449
1960.1001,2.350385189,2.191950321
1960.2001,2.356213331,2.1974051
1960.3001,2.364131928,2.2009058
1960.4001,2.368283987,2.202215672
1960.5001,2.366584778,2.201665402
1960.6001,2.364417076,2.201325417
1960.7001,2.363268375,2.198449373
1960.8001,2.361466885,2.192651987
1960.9001,2.359705448,2.190091372
1961.0001,2.360458136,2.188989401
1961.1001,2.362434149,2.189103603
1961.2001,2.36021018,2.192242146
1961.3001,2.353803635,2.195119619
1961.4001,2.347381353,2.193985462
1961.5001,2.339102268,2.189920187
1961.6001,2.327440739,2.183622122
1961.7001,2.317128182,2.174822331
1961.8001,2.312286854,2.163232565
1961.9001,2.31251359,2.152085543
1962.0001,2.314745903,2.146873713
1962.1001,2.317434311,2.141744614
1962.2001,2.321813822,2.138947249
1962.5001,2.35226965,2.144798517
1962.6001,2.366553783,2.149447441
1962.7001,2.378427029,2.154847145
1962.8001,2.38223815,2.167946577
1962.9001,2.379151106,2.182325602
1963.0001,2.375209093,2.197252512
1963.1001,2.37370944,2.210478067
1963.2001,2.375536203,2.218044758
1963.3001,2.381480217,2.218034267
1963.4001,2.390340328,2.211983204
1963.5001,2.397203922,2.206885338
1963.6001,2.397443771,2.205802441
1963.7001,2.391404867,2.211897612
1963.8001,2.381680727,2.221689701
1963.9001,2.371351242,2.233476639
1964.0001,2.365442038,2.23918438
1964.1001,2.367395163,2.24137044
1964.2001,2.374857664,2.240571499
1964.3001,2.383539438,2.240835667
1964.4001,2.390450001,2.243109942
1964.5001,2.393769503,2.250263453
1964.6001,2.393101692,2.263757944
1964.7001,2.389405966,2.277426243
1964.8001,2.3838346,2.284846306
1964.9001,2.377948999,2.287167788
1965.0001,2.373616457,2.280925036
1965.1001,2.371744871,2.263700247
1965.2001,2.372105598,2.246156931
1965.3001,2.372998953,2.229933262
1965.4001,2.371091127,2.217532873
1965.5001,2.365236998,2.212550163
1965.6001,2.360068321,2.212039948
1965.7001,2.361771345,2.212819338
1965.8001,2.371495009,2.218551397
1965.9001,2.38517642,2.224781513
1966.0001,2.398986101,2.227091312
1966.1001,2.408934116,2.231361628
1966.2001,2.409325361,2.233862877
1966.3001,2.402187109,2.229150534
1966.4001,2.395379067,2.221012354
1966.5001,2.391788483,2.213959217
1966.6001,2.391028881,2.210868359
1966.7001,2.394289732,2.211113453
1966.8001,2.40171957,2.217221737
1966.9001,2.408758879,2.228972435
1967.0001,2.411139727,2.239764214
1967.1001,2.411235094,2.248327732
1967.2001,2.413490772,2.256819964
1967.3001,2.416017294,2.26368618
1967.4001,2.412469626,2.265395641
1967.5001,2.404839754,2.260900259
1967.6001,2.397601128,2.250783205
1967.7001,2.388880014,2.236139536
1967.8001,2.383590221,2.219172716
1967.9001,2.38615942,2.203707933
1968.0001,2.391298771,2.193687916
1968.1001,2.397094488,2.189879656
1968.2001,2.405833244,2.192734242
1968.3001,2.416759014,2.202549458
1968.4001,2.427651167,2.217821598
1968.5001,2.436776876,2.230908871
1968.6001,2.441218376,2.235955954
1968.7001,2.438043118,2.234186649
1968.8001,2.426459789,2.225848675
1968.9001,2.407588959,2.214313269
1969.0001,2.385103464,2.205701351
1969.1001,2.364432812,2.202183008
1969.2001,2.351942301,2.203050375
1969.3001,2.348091602,2.207516909
1969.4001,2.348667383,2.213118792
1969.5001,2.350192547,2.216891289
1969.6001,2.354274988,2.21865058
1969.7001,2.362529755,2.220022917
1969.8001,2.373399973,2.223561049
1969.9001,2.386390209,2.230597019
1970.0001,2.396867514,2.241281509
1970.1001,2.399551153,2.252980471
1970.2001,2.396279335,2.260990143
1970.3001,2.392557859,2.261880398
1970.4001,2.390996695,2.256385088
1970.5001,2.393161058,2.248064756
1970.6001,2.396032095,2.240670681
1970.7001,2.395424843,2.238297701
1970.8001,2.39372468,2.240655184
1970.9001,2.388094902,2.245329857
1971.0001,2.372115135,2.245278359
1971.1001,2.351999998,2.23966527
1971.2001,2.336800098,2.227763891
1971.3001,2.329570055,2.214142084
1971.4001,2.33197856,2.201363325
1971.5001,2.340676308,2.193285227
1971.6001,2.347709179,2.187901974
1971.7001,2.351442337,2.184098721
1971.8001,2.354431868,2.181281567
1971.9001,2.357156277,2.180742979
1972.0001,2.362780094,2.1816113
1972.1001,2.374180555,2.181389332
1972.2001,2.388717413,2.180656433
1972.3001,2.404399395,2.179824591
1972.4001,2.420766592,2.180440664
1972.5001,2.433854818,2.182740688
1972.6001,2.43798995,2.186611176
1972.7001,2.431446314,2.190532208
1972.8001,2.419820786,2.194487333
1972.9001,2.410362482,2.19662261
1973.0001,2.406408072,2.191830635
1973.1001,2.406256437,2.186491728
1973.2001,2.405789614,2.181682587
1973.3001,2.402757883,2.175081253
1973.4001,2.398464203,2.171883345
1973.5001,2.39388752,2.173399925
1973.6001,2.389062882,2.169867277
1973.7001,2.38498497,2.167392969
1973.8001,2.38128686,2.169071674
1973.9001,2.376836538,2.168844461
1974.0001,2.373284578,2.168452501
1974.1001,2.3719275,2.168523789
1974.2001,2.371777296,2.165553093
1974.3001,2.373369455,2.16045928
1974.4001,2.378371954,2.154055834
1974.5001,2.386294127,2.150737524
1974.6001,2.39483738,2.148295879
1974.7001,2.401692152,2.145115376
1974.8001,2.404580116,2.146049023
1974.9001,2.401081562,2.14894414
1975.0001,2.391399622,2.150792599
1975.1001,2.379642725,2.153468847
1975.2001,2.37053299,2.155628681
1975.3001,2.365654707,2.155417442
1975.4001,2.365941763,2.15664649
1975.5001,2.372775078,2.159781933
1975.6001,2.38395071,2.165266037
1975.7001,2.394076824,2.174462557
1975.8001,2.399506569,2.186322212
1975.9001,2.399554014,2.196997643
1976.0001,2.395108461,2.205630779
1976.1001,2.38799715,2.212067127
1976.2001,2.382423401,2.216696739
1976.3001,2.382997513,2.217430353
1976.4001,2.389535666,2.214550734
1976.5001,2.39823246,2.211009026
1976.6001,2.406971216,2.205971956
1976.7001,2.412875176,2.200775385
1976.8001,2.412040949,2.198149204
1976.9001,2.405961275,2.197183847
1977.0001,2.399977922,2.196002483
1977.1001,2.396257639,2.193749666
1977.2001,2.393573761,2.192489386
1977.3001,2.390786886,2.192732334
1977.4001,2.387695074,2.193217993
1977.5001,2.385335445,2.196563482
1977.6001,2.385807514,2.201550961
1977.7001,2.390748978,2.203587055
1977.8001,2.399296284,2.203903437
1977.9001,2.408123255,2.204137564
1978.0001,2.413347721,2.203505039
1978.1001,2.412572622,2.2012465
1978.2001,2.406805754,2.197759867
1978.3001,2.401613236,2.194054604
1978.4001,2.399615049,2.191601992
1978.5001,2.399133444,2.192116976
1978.6001,2.403504849,2.196636915
1978.7001,2.410247326,2.204963207
1978.8001,2.41157341,2.215968132
1978.9001,2.411307097,2.229341269
1979.0001,2.412315846,2.240286112
1979.1001,2.409355879,2.24602747
1979.2001,2.401952505,2.250390053
1979.3001,2.393227816,2.247884989
1979.4001,2.384975433,2.235942841
1979.5001,2.380272865,2.225211382
1979.6001,2.383131266,2.219360828
1979.7001,2.395913124,2.215432882
1979.8001,2.412692308,2.215742111
1979.9001,2.424490213,2.222868681
1980.0001,2.425683975,2.2353971
1980.1001,2.4190166,2.251541853
1980.2001,2.41168642,2.27035737
1980.3001,2.409288168,2.290057659
1980.4001,2.410878182,2.304701567
1980.5001,2.411846876,2.308241844
1980.6001,2.408753157,2.30157733
1980.7001,2.400813818,2.289077044
1980.8001,2.391151905,2.275312424
1980.9001,2.385119915,2.263522625
1981.0001,2.386044025,2.2565341
1981.1001,2.392605305,2.254545927
1981.2001,2.403131485,2.251503229
1981.3001,2.412874222,2.248859167
1981.4001,2.417726278,2.248957872
1981.5001,2.420262337,2.248086691
1981.6001,2.420041323,2.247596979
1981.7001,2.414559364,2.249334335
1981.8001,2.410079479,2.247978687
1981.9001,2.410597324,2.245402336
1982.0001,2.411572933,2.246482849
1982.1001,2.41216445,2.246221542
1982.2001,2.412156105,2.244811058
1982.3001,2.408063173,2.245545626
1982.4001,2.404394627,2.246224642
1982.5001,2.409435034,2.246889591
1982.6001,2.422176361,2.248867989
1982.7001,2.435786486,2.250129461
1982.8001,2.444846869,2.247858524
1982.9001,2.446728945,2.237408876
1983.0001,2.440627337,2.226006746
1983.1001,2.428825855,2.216090918
1983.2001,2.416876793,2.207466126
1983.3001,2.409089804,2.200306416
1983.4001,2.406200886,2.19609952
1983.5001,2.408539534,2.19432044
1983.6001,2.4150033,2.194350004
1983.7001,2.421510696,2.197066546
1983.8001,2.424467087,2.202919245
1983.9001,2.425065517,2.209886074
1984.0001,2.426230669,2.214705467
1984.1001,2.428880453,2.216072321
1984.2001,2.43263936,2.216532946
1984.3001,2.437197447,2.220194578
1984.4001,2.441151857,2.223916769
1984.5001,2.44164753,2.22947979
1984.6001,2.435810804,2.240264177
1984.7001,2.423368454,2.246881008
1984.8001,2.409704447,2.25159359
1984.9001,2.403265476,2.261916161
1985.0001,2.407100201,2.272610664
1985.1001,2.418317795,2.284612179
1985.2001,2.431301117,2.298728943
1985.3001,2.439536572,2.304885626
1985.4001,2.439847708,2.301237345
1985.5001,2.434536219,2.292554617
1985.6001,2.4275949,2.284733772
1985.7001,2.421353102,2.279768944
1985.8001,2.415857554,2.277259827
1985.9001,2.41189909,2.274167061
1986.0001,2.41100812,2.267623186
1986.1001,2.410517216,2.255866528
1986.2001,2.406766653,2.241163254
1986.3001,2.401491404,2.224112034
1986.4001,2.397387028,2.207176924
1986.5001,2.391920567,2.194835663
1986.6001,2.382464647,2.190424919
1986.7001,2.37252903,2.192387104
1986.8001,2.366657972,2.201443911
1986.9001,2.365653992,2.216926098
1987.0001,2.370170593,2.233234406
1987.1001,2.380889177,2.248571396
1987.2001,2.394770145,2.260928154
1987.3001,2.406431437,2.269297361
1987.4001,2.413035393,2.270857096
1987.5001,2.414689302,2.264817953
1987.6001,2.413785934,2.255763292
1987.7001,2.414978743,2.249527216
1987.8001,2.421147823,2.249182701
1987.9001,2.429797411,2.25189662
1988.0001,2.436461449,2.256402969
1988.1001,2.438895464,2.258987665
1988.2001,2.437281609,2.254152775
1988.3001,2.434117079,2.245969296
1988.4001,2.432845831,2.240610838
1988.5001,2.43549037,2.238273859
1988.6001,2.440418005,2.240541458
1988.7001,2.443195105,2.24729228
1988.8001,2.442607403,2.254963636
1988.9001,2.441984654,2.259719372
1989.0001,2.443214893,2.259886742
1989.1001,2.445837498,2.255426884
1989.2001,2.4500916,2.246428967
1989.3001,2.453490496,2.23502779
1989.4001,2.450654984,2.225230455
1989.5001,2.443903446,2.217562437
1989.6001,2.438889027,2.210069895
1989.7001,2.437119484,2.202124834
1989.8001,2.435423851,2.195929289
1989.9001,2.433501959,2.193995714
1990.0001,2.436600924,2.198293448
1990.1001,2.440427065,2.208572626
1990.2001,2.440222263,2.220914125
1990.3001,2.442537546,2.228732348
1990.4001,2.446060419,2.229561329
1990.5001,2.443623543,2.227415085
1990.6001,2.436322451,2.223103523
1990.7001,2.42673254,2.218901396
1990.8001,2.414093733,2.219003677
1990.9001,2.399147034,2.22274971
1991.0001,2.387783527,2.227105141
1991.1001,2.383319378,2.230411291
1991.2001,2.384461641,2.231828213
1991.3001,2.392441988,2.230102778
1991.4001,2.405576944,2.224329472
1991.5001,2.419039726,2.218520641
1991.6001,2.430370569,2.217514753
1991.7001,2.43847394,2.216188669
1991.8001,2.443307161,2.215719938
1991.9001,2.446706533,2.218980551
1992.0001,2.449680328,2.219932079
1992.1001,2.450716972,2.218803406
1992.2001,2.450972557,2.221446753
1992.3001,2.449738264,2.225170612
1992.4001,2.443343401,2.228557348
1992.5001,2.43637991,2.230841398
1992.6001,2.436285019,2.231474876
1992.7001,2.443436861,2.229964972
1992.8001,2.453879356,2.227647543
1992.9001,2.464450359,2.225175858
1993.0001,2.472638845,2.2231071
1993.1001,2.473071575,2.221790791
1993.2001,2.461997986,2.218943596
1993.3001,2.444743156,2.213008881
1993.4001,2.42737627,2.211679697
1993.5001,2.413878679,2.214396715
1993.6001,2.409460306,2.223346233
1993.7001,2.416712761,2.237956762
1993.8001,2.432165384,2.255375147
1993.9001,2.452362776,2.271319151
1994.0001,2.473073244,2.282286167
1994.1001,2.487210989,2.290043593
1994.2001,2.491459847,2.297805548
1994.3001,2.485142469,2.305549383
1994.4001,2.468509674,2.313706636
1994.5001,2.447483778,2.321561098
1994.6001,2.432389975,2.32383132
1994.7001,2.429376125,2.320386887
1994.8001,2.436327934,2.315548897
1994.9001,2.446204424,2.313644886
1995.0001,2.453037024,2.315535307
1995.1001,2.45558238,2.318419218
1995.2001,2.455594063,2.319571495
1995.6001,2.465770245,2.316331387
1995.7001,2.464261532,2.306127548
1995.8001,2.45979166,2.29660821
1995.9001,2.455411196,2.290850639
1996.0001,2.45212841,2.286745071
1996.1001,2.453094959,2.28299737
1996.2001,2.460858107,2.277270556
1996.3001,2.471819162,2.265332937
1996.4001,2.481373549,2.253558397
1996.5001,2.489490986,2.245425224
1996.6001,2.498383284,2.236972094
1996.7001,2.508353949,2.229100704
1996.8001,2.517549753,2.222522259
1996.9001,2.522236109,2.216391087
1997.0001,2.517292976,2.214388132
1997.1001,2.502819538,2.219882011
1997.2001,2.487622261,2.228148699
1997.3001,2.478958607,2.235596418
1997.4001,2.475759268,2.237506151
1997.5001,2.474032641,2.232572079
1997.6001,2.470160723,2.224543095
1997.7001,2.463793516,2.218236685
1997.8001,2.458345652,2.213243008
1997.9001,2.455169201,2.211709261
1998.0001,2.453365803,2.213507414
1998.1001,2.451709747,2.212543964
1998.2001,2.451600075,2.206035137
1998.3001,2.45634532,2.196061134
1998.4001,2.462871552,2.18793416
1998.5001,2.465223789,2.186581612
1998.6001,2.467383862,2.19391036
1998.7001,2.477975607,2.208194256
1998.8001,2.496796131,2.227368593
1998.9001,2.511314631,2.246724367
1999.0001,2.509163141,2.260090351
1999.1001,2.490174055,2.260805368
1999.2001,2.465390682,2.249231815
1999.3001,2.447975397,2.231475353
1999.4001,2.444205761,2.214167595
1999.5001,2.448534727,2.201002359
1999.6001,2.452593803,2.193743467
1999.7001,2.454438925,2.190626383
1999.8001,2.455390215,2.188346624
1999.9001,2.458866596,2.188297033
2000.0001,2.467464209,2.190792084
2000.1001,2.471848726,2.194073439
2000.2001,2.464309931,2.201312304
2000.3001,2.449496746,2.212426901
2000.4001,2.43296051,2.222923994
2000.5001,2.420512438,2.23094821
2000.6001,2.415976524,2.234080792
2000.7001,2.419985056,2.229726791
2000.8001,2.431061983,2.219581366
2000.9001,2.444540262,2.210297585
2001.0001,2.454434395,2.208100319
2001.1001,2.457797766,2.214217901
2001.2001,2.457906961,2.22716403
2001.3001,2.459967852,2.24526763
2001.4001,2.463333607,2.263865948
2001.5001,2.464953423,2.279762268
2001.6001,2.468547344,2.297143221
2001.7001,2.475353241,2.317234516
2001.8001,2.480076313,2.337485313
2001.9001,2.478706598,2.356607914
2002.0001,2.471715927,2.36814189
2002.1001,2.462090492,2.36623764
2002.2001,2.45206809,2.358329773
2002.3001,2.442065001,2.349041462
2002.4001,2.435779095,2.341711521
2002.5001,2.439178467,2.339328766
2002.6001,2.450160027,2.340387821
2002.7001,2.459557533,2.336961985
2002.8001,2.460076332,2.331883192
2003.1001,2.436304569,2.327610731
2003.2001,2.438715458,2.32307291
2003.3001,2.444657087,2.318823576
2003.4001,2.448868752,2.314399958
2003.5001,2.446675301,2.306381941
2003.6001,2.437184572,2.293695927
2003.7001,2.424276829,2.276639938
2003.8001,2.413024187,2.262949467
2003.9001,2.404663324,2.252876043
2004.0001,2.398790836,2.246652365
2004.1001,2.394488096,2.243975163
2004.2001,2.388967514,2.24345088
2004.3001,2.380465508,2.24301815
2004.4001,2.371921778,2.247405291
2004.5001,2.36731267,2.254641533
2004.6001,2.367990255,2.258439302
2004.7001,2.372888088,2.263971806
2004.8001,2.378977776,2.268840313
2004.9001,2.380654335,2.26402688
2005.0001,2.373683929,2.25971055
2005.1001,2.360379219,2.257087231
2005.2001,2.346898556,2.255138874
2005.3001,2.335747242,2.257376671
2005.4001,2.327672482,2.265530825
2005.5001,2.324603081,2.274890184
2005.6001,2.326331377,2.285506964
2005.7001,2.328511715,2.297688484
2005.8001,2.327153683,2.307484388
2005.9001,2.322540522,2.314054966
2006.0001,2.318140268,2.314339638
2006.1001,2.316180944,2.306432724
2006.2001,2.314851522,2.297115564
2006.3001,2.311920881,2.290205717
2006.4001,2.309502363,2.282628536
2006.5001,2.311531782,2.276385546
2006.6001,2.320445299,2.273167372
2006.7001,2.338269234,2.265803814
2006.8001,2.366132975,2.257797957
2006.9001,2.402634382,2.254796982
2007.0001,2.440975428,2.256690264
2007.1001,2.470781326,2.260818243
2007.2001,2.486389637,2.263970852
2007.3001,2.489175081,2.268121481
2007.4001,2.481930256,2.272543192
2007.5001,2.465610266,2.277061939
2007.6001,2.44133234,2.285192013
2007.7001,2.411730528,2.29518795
