DEPTH,DT,GR,ILD,NPHI,RHOB,WELL,,DEPTH,DT,GR,ILD,NPHI,RHOB,WELL
1929.1001,74.90073395,11.09988594,0.443604767,0.239242435,2.38283968,F17-04,,1929.1,87.33821106,46.79666138,0.490835816,0.305064857,2.211763144,F15-A-01
1929.2001,74.0125885,10.62743473,0.463465631,0.21524699,2.393989801,F17-04,,1929.2,87.38739014,47.98532105,0.500767589,0.310640842,2.214883328,F15-A-01
1929.3001,73.1618042,10.21928215,0.479382753,0.205211029,2.397409678,F17-04,,1929.3,87.30675507,46.69061279,0.51004225,0.308431983,2.222902775,F15-A-01
1929.5001,73.03425598,10.07062817,0.50199312,0.232831389,2.381026745,F17-04,,1929.5,86.35142517,43.71010971,0.521666169,0.285393179,2.256030083,F15-A-01
1929.6001,74.17573547,10.36175823,0.506186843,0.254018813,2.372151852,F17-04,,1929.6,86.03385925,43.32944107,0.521318913,0.267040491,2.271313906,F15-A-01
1929.7001,76.0113678,10.73371887,0.507034361,0.268491536,2.364696264,F17-04,,1929.7,86.04938507,44.19122696,0.518827677,0.254729152,2.279445648,F15-A-01
1929.8001,77.902771,11.13824463,0.504468799,0.272507995,2.353979826,F17-04,,1929.8,86.28051758,47.3000145,0.516905069,0.255545527,2.274608612,F15-A-01
1929.9001,79.36810303,11.4987278,0.499265283,0.270558953,2.339089632,F17-04,,1929.9,86.69654083,49.38792038,0.514229,0.261991143,2.262601137,F15-A-01
1930.0001,80.29309845,11.66795445,0.491072387,0.270580977,2.319903135,F17-04,,1930,87.31430054,50.42492294,0.510942936,0.272265852,2.245723486,F15-A-01
1930.1001,80.90322876,11.69214726,0.46640113,0.274204373,2.301368713,F17-04,,1930.1,88.20439911,50.34083939,0.506458044,0.288011938,2.234386444,F15-A-01
1930.2001,81.46282196,11.83474731,0.441037953,0.279852331,2.291889429,F17-04,,1930.2,89.1047821,51.10312271,0.499031484,0.305755973,2.225607157,F15-A-01
1930.3001,82.03057861,12.05706501,0.415140271,0.287324518,2.28888011,F17-04,,1930.3,89.73242188,52.16856384,0.489001662,0.319042921,2.219008446,F15-A-01
1930.4001,82.55155945,12.0314703,0.392393172,0.292929411,2.284287453,F17-04,,1930.4,89.93405914,52.18371201,0.472981989,0.325031161,2.211904287,F15-A-01
1930.5001,83.04424286,11.73181343,0.370592028,0.292741209,2.277955294,F17-04,,1930.5,90.29960632,51.8750267,0.457592815,0.326997191,2.205874205,F15-A-01
1930.6001,83.53511047,11.32237148,0.349772483,0.289474279,2.272969008,F17-04,,1930.6,90.86489105,51.04177856,0.442854613,0.3222242,2.200392008,F15-A-01
1930.7001,83.99863434,10.83288288,0.334841996,0.287688792,2.268606424,F17-04,,1930.7,91.36154175,49.23214722,0.431527942,0.307765007,2.191761732,F15-A-01
1930.8001,84.47590637,10.36299229,0.322382838,0.288973719,2.263494015,F17-04,,1930.8,91.73121643,47.83689499,0.420740843,0.29780975,2.187138557,F15-A-01
1932.0001,76.30297089,10.85940456,0.446175158,0.227964088,2.34582448,F17-04,,1932,93.64341736,51.37593079,0.370693892,0.323149324,2.177422047,F15-A-01
1932.1001,75.78904724,10.95311165,0.478537023,0.245824128,2.347292423,F17-04,,1932.1,94.07957459,52.23218918,0.367169589,0.336750627,2.176239967,F15-A-01
1932.2001,75.73336029,11.15808582,0.51252836,0.258479357,2.354201078,F17-04,,1932.2,94.33287048,53.06401825,0.362245709,0.343715251,2.175947189,F15-A-01
1932.3001,75.91872406,11.40929699,0.545359135,0.259564936,2.362544537,F17-04,,1932.3,94.38970184,52.38700104,0.356994957,0.338219166,2.176571369,F15-A-01
1932.4001,76.27494812,11.60769272,0.571303904,0.253559023,2.367621899,F17-04,,1932.4,94.22847748,50.32010269,0.352509379,0.325990021,2.178849936,F15-A-01
1932.5001,76.69853973,11.73782158,0.589840651,0.245728836,2.368841887,F17-04,,1932.5,93.91159058,49.72076416,0.349113435,0.3199929,2.183148861,F15-A-01
1932.6001,77.01451874,11.83141899,0.600728095,0.238781944,2.367576122,F17-04,,1932.6,93.63866425,48.97844315,0.346729934,0.319079578,2.187011719,F15-A-01
1932.7001,77.19020844,11.85547733,0.589185953,0.238298476,2.364713907,F17-04,,1932.7,93.56114197,48.6415863,0.34705016,0.322282136,2.18819809,F15-A-01
1932.8001,77.41719055,11.77986622,0.569548667,0.246973306,2.360790968,F17-04,,1932.8,93.66418457,51.9262352,0.351420313,0.33332172,2.190048456,F15-A-01
1932.9001,77.88313294,11.6665926,0.546245515,0.259663314,2.354866982,F17-04,,1932.9,93.86906433,54.7940712,0.358702272,0.340341985,2.194130421,F15-A-01
1933.0001,78.55470276,11.62792969,0.531510711,0.268903762,2.34551549,F17-04,,1933,94.03920746,54.28862,0.370556593,0.334631026,2.201601028,F15-A-01
1933.1001,79.28811646,11.7317133,0.520142734,0.271567345,2.333099365,F17-04,,1933.1,93.97926331,53.53243256,0.382972717,0.324186832,2.212608099,F15-A-01
1933.2001,79.95546722,11.9485426,0.511034966,0.269298255,2.320524693,F17-04,,1933.2,93.51383209,51.71741486,0.395615906,0.314654112,2.225089073,F15-A-01
1933.3001,80.46668243,12.11451531,0.499822736,0.265677631,2.312437058,F17-04,,1933.3,92.69251251,48.59224701,0.405547679,0.307973683,2.235342979,F15-A-01
1933.4001,80.80046082,12.02762032,0.490327746,0.264089584,2.312881708,F17-04,,1933.4,91.76898193,46.63951492,0.414621264,0.306396216,2.241902828,F15-A-01
1933.5001,80.9559021,11.76364613,0.482330352,0.266204894,2.322451353,F17-04,,1933.5,90.99003601,45.99052811,0.422940433,0.30929932,2.242668152,F15-A-01
1933.6001,80.93650055,11.65462685,0.475283653,0.270418793,2.337105513,F17-04,,1933.6,90.46781158,45.74174118,0.430309206,0.311501205,2.238360405,F15-A-01
1933.7001,80.77053833,11.8081007,0.470113188,0.272636801,2.351623297,F17-04,,1933.7,90.2279129,45.42502594,0.436583817,0.309692293,2.232814074,F15-A-01
1933.8001,80.48422241,12.11041164,0.466916233,0.269938707,2.364077807,F17-04,,1933.8,90.29173279,45.50413895,0.441710442,0.310363293,2.227330923,F15-A-01
1933.9001,80.08323669,12.53967285,0.470818967,0.263549417,2.376084089,F17-04,,1933.9,90.64429474,46.20856094,0.445601076,0.316334039,2.222169638,F15-A-01
1934.0001,79.61512756,13.02570534,0.477383703,0.257322222,2.38824892,F17-04,,1934,91.20451355,46.95838165,0.447048962,0.319134861,2.219110012,F15-A-01
1934.1001,79.14492035,13.40639782,0.48699525,0.252232105,2.397272587,F17-04,,1934.1,91.87582398,47.58100891,0.445446581,0.317688853,2.217126846,F15-A-01
1934.2001,78.66622162,13.70004082,0.496608049,0.245586649,2.397703648,F17-04,,1934.2,92.65937042,48.22426224,0.437095046,0.312347442,2.213436842,F15-A-01
1934.3001,78.14846802,14.07214928,0.50747776,0.238290295,2.386182308,F17-04,,1934.3,93.51441956,48.99113083,0.427119374,0.300760448,2.207074642,F15-A-01
1934.4001,77.58706665,14.44005203,0.520295203,0.234678611,2.365180969,F17-04,,1934.4,94.24248505,50.20698166,0.415584594,0.297870427,2.199226618,F15-A-01
1934.5001,76.98682404,14.47701645,0.534222543,0.235259414,2.342926264,F17-04,,1934.5,94.67533875,51.46340179,0.405997098,0.312987238,2.192208052,F15-A-01
1934.6001,76.39571381,14.14309216,0.547436297,0.237771481,2.329590321,F17-04,,1934.6,94.83990479,51.3687706,0.397807956,0.330343545,2.188360214,F15-A-01
1934.7001,75.90903473,13.59247208,0.558969319,0.240502268,2.330089569,F17-04,,1934.7,94.84516907,50.21508789,0.391720712,0.342393875,2.187562227,F15-A-01
1934.8001,75.61531067,12.85595703,0.569451273,0.241649851,2.340790272,F17-04,,1934.8,94.71869659,48.96492386,0.388260245,0.348974764,2.187811136,F15-A-01
1934.9001,75.48989868,12.08404446,0.578563213,0.240370289,2.353600264,F17-04,,1934.9,94.46932221,47.12862396,0.386135221,0.342482179,2.188848019,F15-A-01
1935.0001,75.44803619,11.48977661,0.584969103,0.237463906,2.361506939,F17-04,,1935,94.19813538,45.84221268,0.385815024,0.330003023,2.189831257,F15-A-01
1935.1001,75.48588562,11.15347862,0.589150488,0.234202266,2.362264156,F17-04,,1935.1,93.96413422,46.37683868,0.386979044,0.327878356,2.189608812,F15-A-01
1935.2001,75.65270996,11.2816782,0.592913866,0.231355846,2.359117985,F17-04,,1935.2,93.71081543,47.9025116,0.388740212,0.336440593,2.191130877,F15-A-01
1935.3001,75.89034271,11.98173618,0.597405493,0.228612736,2.358280897,F17-04,,1935.3,93.42977142,49.58883286,0.390983015,0.345891178,2.194199562,F15-A-01
1935.4001,75.9836731,12.91419792,0.607923329,0.225271344,2.363800526,F17-04,,1935.4,93.17398071,51.10155106,0.393689454,0.348479748,2.195176125,F15-A-01
1935.5001,75.75598145,13.87257671,0.619709611,0.223497778,2.374321461,F17-04,,1935.5,92.98108673,51.6836853,0.396252304,0.34132877,2.196771622,F15-A-01
1935.6001,75.18860626,14.54486752,0.627399027,0.225871623,2.386710405,F17-04,,1935.6,92.91134644,51.06852722,0.397533804,0.325781316,2.199694395,F15-A-01
1935.7001,74.4395752,14.267416,0.634872139,0.229861006,2.397777081,F17-04,,1935.7,92.98851776,49.8309021,0.400114954,0.308636606,2.20000267,F15-A-01
1935.8001,73.66872406,13.41514015,0.642730713,0.231840015,2.405395508,F17-04,,1935.8,93.12659454,48.69789124,0.403562486,0.300795198,2.196254969,F15-A-01
1935.9001,73.04701996,12.85732555,0.653305471,0.231364474,2.410927534,F17-04,,1935.9,93.20835114,48.12934876,0.40836826,0.303315759,2.189683199,F15-A-01
1936.0001,72.72078705,12.44173813,0.665086627,0.229515851,2.417527199,F17-04,,1936,93.15300751,48.02468872,0.413576633,0.3091546,2.181585312,F15-A-01
1936.1001,72.70966339,12.06158543,0.677581966,0.226178333,2.426628828,F17-04,,1936.1,92.89001465,47.53074646,0.418956816,0.317377061,2.177109003,F15-A-01
1936.2001,72.86126709,11.89482021,0.69007951,0.223240942,2.43567276,F17-04,,1936.2,92.40096283,46.57809067,0.42376259,0.324935794,2.180742264,F15-A-01
1936.3001,72.94902802,11.58263874,0.70536381,0.223856375,2.440177441,F17-04,,1936.3,91.77639771,45.98740387,0.427267939,0.324191093,2.191725969,F15-A-01
1936.4001,72.96563721,11.02243233,0.722081721,0.228036806,2.436343908,F17-04,,1936.4,91.20149994,45.7482338,0.429759771,0.316758841,2.206758976,F15-A-01
1936.5001,73.0695343,10.57308865,0.729124367,0.232248783,2.424614668,F17-04,,1936.5,90.82603455,45.90012741,0.431041271,0.308101654,2.221389532,F15-A-01
1936.6001,73.34359741,10.35430622,0.73020184,0.23481144,2.409107447,F17-04,,1936.6,90.68630219,46.8789978,0.433686286,0.299162775,2.233967781,F15-A-01
1936.7001,73.77420044,10.33793068,0.725996137,0.239894912,2.393023968,F17-04,,1936.7,90.74684143,48.06655884,0.437558949,0.293092221,2.241325617,F15-A-01
1936.8001,74.29682159,10.45514011,0.717343271,0.24481608,2.382185698,F17-04,,1936.8,90.92518616,48.68351364,0.444927722,0.296854794,2.242632628,F15-A-01
1936.9001,74.86381531,10.57932663,0.706053555,0.243304521,2.380182743,F17-04,,1936.9,91.08259583,48.88481522,0.453072012,0.313890636,2.242282391,F15-A-01
